sentiment,sentiment_count,sentiment_score,tweet_text
sadness,5.0,3.374,imagine this virus killing majority white people and PBO being in charge of them being buried in Mass Graves at the same time he is on television holding a black lives matter rally
sadness,5.0,3.594,"Slavery segregation & incarceration... Victims of poorly trained & racist law enforcement & food, education & healthcare deprivation. Now victimized disproportionately by Covid-19. #BlackLivesMatter"
sadness,4.0,1.98,"In response to kemp is decision to re-open Georgia, the #GACoalition2SaveLives is holding a protest funeral procession. Black-owned funeral homes are helping by driving hearses around the state capitol, right now. 23k lives may not matter to Kemp but they matter to us #toosoonGA"
sadness,5.0,2.425,"i have definitely been attacked for it, and i have pushed back. We have huge scars from the Akai Gurley and Peter Liang case here in New York City. Sometimes I and comrades wonder what we lost and won when we declared #BlackLivesMatter aloud. It still hurts. #miseduAsian"
sadness,3.0,1.509,"It was not by cops so no one can say ""blue lives matter"". It was by 2 regular white men who thought they HAD THE RIGHT to murder a black man in daylight for no reason. THIS IS A RACE THING. THIS IS A RACE ISSUE."
sadness,2.0,1.6789999999999998,"Ahmuad died more than two months ago ago. No arrests. No outrage. Nothing. ‘Remember, they did not make arrests because THEY saw the tape; They made arrests because we saw the tape.' #IrunwithMaud #BlackLivesMatter #HappyBirthdayMaud #JusticeForAhmaud"
sadness,3.0,1.415,Right. I remember when P!nk said Black Lives Matter and lost a million fans on IG.
sadness,4.0,2.4130000000000003,"Before anyone tries to say anything else about Black people is behavior or bodies, deal w/structural racism. Blacks are 6 times more than Whites to be turned away for #COVID19 testing &amp; treatment at hospitals. Blacks are dying because our lives are devalued #BlackLivesMatter"
sadness,5.0,2.089,"Also, Miss Taylor was a black EMT – one who *volunteered at 2 hospitals* in addition to her regular work. So it is an appropriate time to remind you all of the 5th Rule of ""When people say 'Blue Lives Matter,' they do not mean the dark blue ones"""
sadness,4.0,2.228,"...Recall Hoodies and Face Masks could get many, a black man, killed in the US. Yet with this Pandemic, it does not matter anymore if a black man walked into a Bank wearing one. Masks should not be politicized. A mask is meant to save lives. Green, Black or Blue it does not matter"
sadness,5.0,2.75,"This is why Black Lives Matter &amp; other similar organizations are absolutey imperative. Furthermore this is a perfect example of white privledge. It makes me SICK. This woman— Amy Cooper, because of her LIE, could have easily ruined this mans life today. #BlackLivesMatter #BLM"
sadness,4.0,2.5780000000000003,"George Floyd was murdered by two police officers last night in Minneapolis. One kneeled on his neck as he cried out ""I can not breathe."" The other officer stood by and watched his fellow officer murder a Black man."
sadness,3.0,1.71,"Woke up this morning to the actuality that ANOTHER UNARMED BLACK MAN is DEAD due to the ignorance of police who simply did not value his life. i am moved to tears by it b/c as much as I abide by ""the law,"" I KNOW that I could become a hashtag. George Floyd DID NOT DESERVE TO DIE!"
sadness,5.0,2.819,"""I CAN'T BREATHE."" Nobody deserves to die the way George Floyd was killed. The problem is much bigger than these hearth breaking incidents. We need to work hard to mend the relationship between our police and the forgotten black community. #MN05 #JusticeForFloyd #ICantBreathe"
sadness,6.0,3.4130000000000003,"Another black man killed by police in Minneapolis...the video is so hard to watch. No one deserves to die like that. He begged, ""Please, I can not breathe."" RIP George Floyd. I hate I have to say, I HOPE you get justice. I fucking hate it."
sadness,2.0,1.5859999999999999,"it is painfully clear that what happened to George Floyd is what Amy Cooper tried to weaponize and use to her advantage. He said, ""Leash your dog."" She said, ""I can get you murdered."""
sadness,3.0,2.397,"Owners at Conga Latin Bistro just devastated over loss of #GeorgeFloyd Spent several years working as security &amp; bar hope. More than just an employee, ""Floyd"" as they knew him was a friend. Complete coverage on all our newscasts tonight. – at Conga Latin Bistro"
sadness,4.0,2.092,"The footage of this arrest is disheartening, and it is cruel. It hurts me to see a person of color treated in such a manner. Now we must demand justice! #BlackLivesMatters"
sadness,4.0,2.929,"Any obfuscation by the media about how George Floyd died is abdicating responsibility and, worse, perpetuating the conditions that allowed him to be brutally killed in broad daylight. He died because a cop was pressing his knee into his neck for 10min while another cop watched."
sadness,3.0,2.14,those police officers need to be buried UNDER the jail house!!! #SayHisName #GeorgeFloyd #JusticeForGeorge
sadness,3.0,1.89,I guess killing unarmed black people is considered essential work #GeorgeFloyd #AhmaudArbery #BreonnaTaylor
sadness,3.0,2.226,A masked man stands solemnly at a makeshift memorial for George Floyd in front of the spot where he was pinned to the ground as a Minneapolis Police Officer knelt on his neck. Floyd later died and the four officers involved have now been fired. #GeorgeFloyd
sadness,4.0,2.5540000000000003,Another day another heart break. Another day another outrage. Black communities can only do and say so much against a system that is already oppressing and killing us. We need white allies to speak up alongside us. Don't be silent. Don't be complacent. #blacklivesmatter
sadness,5.0,3.5620000000000003,". has obtained additional #GeorgeFloyd video as #Mpls police initially pull him from his SUV. Minutes later, he would be pinned, begging for air. Initial Medical Examiner report says further investigation needed to determine an official because of death. He died at the hospital."
sadness,2.0,1.6789999999999998,1/2 Andrew Kearse stated 70 Times he could not breathe and died in 17 minutes. Eric Garner stated 11 times he could not breathe and died. George Floyd repeatedly stated he could not breath and again he is dead. #SayHisName #icantbreathe
sadness,4.0,2.366,"Our ancestors were lynched in broad day with a rope around their necks. Yesterday, we watched a Black man lynched in broad day with a knee against his neck. It will not stop until they realize ""they got necks too."" The murder of George Floyd is the straw that broke the camel is back."
sadness,8.0,4.595,I feel physically sick after watching what happened to George Floyd—a black man who died after being held down by a white police officer that used his knee to pin him &amp; choke him as he repeatedly screamed that he could not breathe. This kind of sinful ungodly garbage has to stop.
sadness,5.0,3.554,You know I can not watch that video of #GeorgeFloyd being killed by the police officer. Once I realized he died from comments I closed it. Yet still it is been weighing on me. Handcuffed and helpless and a beg. It shake me.
sadness,3.0,1.531,In the middle of a pandemic!! Can you imagine how mad these people are to have to march down the middle of the street in the middle of a pandemic to be heard so that something is done about these cops! #GeorgeFloyd
sadness,3.0,1.64,i am sick and tired of watching videos of black people being murdered by cops . #ThisIsWhyWeKneel #BlackLivesMatters
sadness,3.0,2.351,"""I can not breathe,"" were George floyd is last words. Nobody deserves to die this way. Today, I went to the rally in Minneapolis to be with the people of our district #MN0 I saw pain, grief, and outrage in our own streets. All of us want #JusticeForGeorgeFloyd. 1/4"
sadness,6.0,3.771,This attorney died because a store THOUGHT he waa writing a bad check. He wasn't. His resisting was telling the ofcr he is claustrophobic? He was cuffed as onlookers begged those MURDERERS to sit hit up and check his pulse. Please do not assume #GeorgeFloyd asked/deserved THAT!!
sadness,2.0,1.479,So this happened in Minneapolis after cops choked and killed George Floyd. #ICantBreathe #BlackLivesMatter
sadness,4.0,3.204,"I spoke to George floyd is brother in Houston today and the family is just broken by this. He said they are still grieving and trying to understand this. Such a sad and horrible situation. Woodlands, Texas"
sadness,2.0,1.48,What happened to that man was an inexplicable miscarriage of justice. That officer needs to be in jail. #GeorgeFloyd
sadness,6.0,2.813,"As we witness the pain and loss of #GeorgeFloyd begging for something so basic as the ability to breathe while being handcuffed on the ground with the full weight of a Police Officer on his neck, not only does my heart just ache, but I find my own breath labored."
sadness,4.0,1.642,"i am still trying to find the words. This is tough. The news was tough yesterday. Social media was tough. I tossed and turned all night, something #GeorgeFloyd will not ever be able to do again. ""Being black in America should not be a death sentence."" Minneapolis mayor Jacob Frey"
sadness,3.0,2.3280000000000003,"A tale of two Minnesotas. On the one side, nutter ""Liberate Minnesota"" protestors who can not handle social diatancing. On the other, protests against the murder of #GeorgeFloyd. Only one of these ended with tear gas and rubber bullets. So sad and yet so predictable."
sadness,5.0,3.3439999999999994,"With a sad heart, l want to offer my condolences to the family of George Floyd he was murderd by police officers in Minneapolis due one such officer kneeling on his neck as he begged for air. So far they have only been fired why are not they in jail why are they allow to be free"
sadness,4.0,2.978,"I refuse to share the image of #GeorgeFloyd being murdered This is happening everyday &amp; to not be held accountable, to take someone is life on video &amp; to JUST lose your job, is bull ...I gotta raise my son on how to not get killed by police, bc of his race is very sad."
sadness,2.0,1.64,The fact that it is the year 2020 and in the United States of America people have to protest for the rights of brown people to not be murdered by public employees via asphyxiation is a fucking disgrace. #GeorgeFloyd
sadness,3.0,1.861,How many black men must be suffocated to death before the systemic disease of racism is irradiated from the group that is called to serve and protect?#GeorgeFloyd #icantbreathe
sadness,3.0,1.594,"""We can not make a change if you all do not change."" Black people... Black adults... Black kids... Are hurting... Maybe if everyone hurt the same for the dehumanization of Black bodies, things would change #GeraldFloyd #AhmaudArbery #ChristianCooper #Minneapolis #BlackLivesMatter"
sadness,3.0,1.8280000000000003,"The fact that its Black lives ""Matter"". Not ""Equal"" just ""matter"". The fact that we have to show videos of people of color getting killed on camera to prove that it is happening. The fact that it is not enough. Absolutely sickening."
sadness,6.0,4.317,"When I watched Pousseys death on OITNB I thought ""this does not feel real enough. People will miss the point,"" but George Floyd died exactly the same way. It is very real and i am just sad/ mad that this continues to happen."
sadness,2.0,1.6789999999999998,". during a Zoom call with the Houston media, asked about Houstonian #GeorgeFloyd who died while in the custody of Minneapolis police: ""i have seen the video. I think it is disgusting. I think there is no explanation for it. To me it does not make any sense..."""
sadness,2.0,1.531,"I can not stop crying from complete brokenness and blinding rage over what happened to George Floyd and countless others before him. If you are silent, you are not helping. #BlackLivesMatter"
sadness,3.0,2.2569999999999997,". during a Zoom call with the Houston media, asked about Houstonian #GeorgeFloyd who died while in the custody of Minneapolis police: ""i have seen the video. I think it is disgusting. I think there is no explanation for it. To me it does not make any sense..it is terrible..."""
sadness,4.0,2.2430000000000003,"Day 2 of protests over George floyd is death at 38th and Chicago Ave. Crowd is being led through prayer and chants as others leave memorials, some use chalk to write messages on the street. Graffiti also on nearby buildings."
sadness,4.0,3.0389999999999997,". Chief Todd Schmaderer and Deputy Chiefs extended condolences to the family of George Floyd who died in police custody in Minneapolis on Monday. ""The officers' actions are not consistent with the training and protocol of our profession."" #GeorgeFloyd"
sadness,4.0,2.2270000000000003,This is Amerikkka. The system was never designed to protect and serve us. The modern day police evolved from slave catchers. Being black should not be a death sentence... especially in a country we built. #GeorgeFloyd #icantbreathe #toomanyhashtags
sadness,3.0,2.555,"George floyd is white fiancé is calmly asking for people to forgive the police.... George floyd is ""girlfriend"" is painfully mourning her loved one..... is that what you all telling me?"
sadness,4.0,2.656,"I cant stop thinking about poor george floyd, on the ground, unable to move, saying, I cant believe, SIR.. tried to show respect. Yet this maga , shown in trump rally, kept his knee un mans neck 5 to 8 mins. Torturous murder. I cried all day"
sadness,4.0,2.7880000000000003,"If you are trying to find a reason to justify why George Floyd was murdered, and that reason is not racism, you are a racist. He died because he was black and that asshole white man knew what he was doing."
sadness,4.0,3.128,"#GeorgeFloyd was unarmed &amp; pleading for his life / crying out for his mama while being choked to death by someone who is supposed to ""serve and protect"" If you do not get why people say #BlackLivesMatter it is because this country demonstrates over and over that they don't."
sadness,2.0,1.665,"As a health care provider, #Icantbreathe motivates me to urgently care for a patient. #MedTwitter #MedStudentTwitter what can we do to help these cries for help be heard? What can we do to prevent these deaths? #GeorgeFloyd #EricGarner #BlackLivesMatter"
sadness,6.0,4.502,I spent the day mourning the murder of #GeorgeFloyd and lamenting the ever present lie of white supremacy in our nation. Am planning to make a statement and share some thoughts in a live stream on my campaign YouTube channel and Facebook page Thursday morning.
sadness,3.0,1.946,"While we are on the topic of #BlackLivesMatter, let is not forget about the negligence of the Federal Government in mitigating the current pandemic in the early months of 2020 that has resulted in the disproportionate deaths of thousands of Black Americans. Remember in November."
sadness,4.0,2.391,black lives matter!!! science is real!!! no human is illegal!!! love is love!!! believe women!!! end rape culture!!! abortion is a right!!!
sadness,5.0,2.903,"#GeorgeFloyd was crying for his mother, as he was having his life squeezed from his body. Why do not you talk about that. Looting is wrong, but I understand. Hell, I feel like tearing things up too. Spare me your fake ass outrage. #ArrestDerekChauvin"
sadness,2.0,1.6789999999999998,"WARNING: GRAPHIC IMAGES Repost from In Minnesota earlier this week, George Floyd, an unarmed African American man, died after being arrested and the video that showed him being pinned to the ground by…"
sadness,3.0,2.379,"Omg you all this is wild! And, as my dad said, these idiots are just out raising hell, this has nothing to do with the man who died! #minneapolisriots #Minneapolisprotests #minneapolis #BlackLivesMatters #looting #target"
sadness,4.0,2.073,As much as i am hearing about Corona in the news I wanna hear how George Floyd and Ahmaud Arbery murderers are getting in jail and what is going on within their cases. WE NEED JUSTICE! #JusticeForGeorgeFloyd #JusticeforAhmaudArbery
sadness,4.0,2.4370000000000003,what is it gonna take for this to stop? Honestly. it is sick to see the news and the videos of black people getting killed for no reason. Murder is never EVER justifiable. With that behind said... Black. Lives. Matter.
sadness,4.0,2.39,George Floyd did not deserve to be murdered in public. He begged for his life. Black men deserve to be in open &amp; public spaces w/out being killed.
sadness,3.0,2.4850000000000003,WE STAND IN SOLIDARITY WITH THE PROTESTORS AT #minneapolisriots AND ALL THOSE MOURNING THE LOSS OF #GeorgeFloyd. WE DEMAND JUSTICE. Silence is not an option. Silence is costly. Silence will take lives. #BlackLivesMatters
sadness,4.0,2.115,"As light dawns on #Mpls, seeing extensive damage of #minneapolisriots here in Uptown neighborhood. store glass doors, windows shattered. The clothes racks pilfered. it is a mess inside &amp; out. Hearing a lot of pain directly from city residents right now. #GeorgeFloyd – at Target"
sadness,2.0,1.5319999999999998,2/2 but also the cowardly inaction of the other officers who stood around and did nothing. Very sad and heartbroken for this needless loss of life. #GeorgeFloyd
sadness,5.0,3.516,"Watch this interview of Philonise Floyd, younger Brother of #GeorgeFloyd. U will cry too George was mocked, killed &amp; dragged. No humanity. The tears on philonise is face. The sorrow in his voice. These 4 officers must be charged &amp; convicted. There must be Justice."
sadness,5.0,2.781,"Another black man killed, I am praying he gets justice, emotions running high for good reasons, but the worse we can do is destroy our own communities. I am upset, I am hurt by all of this, I feel for the family of #GeorgeFloyd, but we must allow justice to have her turn."
