sentiment,tweet_text
joy,Dorian Gray with Rainbow Scarf #LoveWins from
joy,... Replace with your wish which the artist uses in next installation! It was entralling!
joy,thank you for following me back. Great to hear from a diverse nan interesting panel #DefeatingDepression
joy,What a beautiful jewel / portrait. Is the 'R' for Rex ?
joy,I have always loved this painting.
joy,Lucky Good luck nan see you soon Happy face or smiley
joy,Yr 9 art students are off to the today. Enjoy!
anger,#AskTheGallery Why do you pay your brilliant staff so poorly?
joy,"I do, I do, I do. Happy face or smiley"
joy,one of my favourite paintings! He was a great artist
joy,The Magna Carta exhibition was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!
joy,"Kudos, for a top-flight WC exhibition!"
joy,ooh... Please let us know how it is!!!
joy,Enjoying the amazing collections with the family
joy,Beautiful painting. Thank you.
joy,#definingbeauty a truly breathtaking exhibition.fascinating on portrayals of women
joy,"thank you for the favourite, following you back, your mum did a great job at #DefeatingDepression"
joy,Treats for the end of June followed by #JacksonPollock *perfect summer*
joy,One of the best places in the country.
joy,"Wonderful experience, hearing Tim Knox's #objects2015 keynote on contents nan decor of UK country houses in gallery 3 of"
joy,Hooray! wins Evolver Prize 2015! See it at from 4 July.
joy,Fabulous Enid Blyton exhibition Great for kids of ALL ages!
joy,Enid Blyton exhib'n opens Wed 17 June! we have been helping set up
joy,kettle is YAR Sadness ANTIMUSEUM meet the Archivist is buzzing! #CastleHill15 #explorearchives
joy,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at tomorrow with
joy,Samba time! #DiscoveryDay
joy,Lots of ancient artefacts to enjoy #amazingplace #toomuchforaquickvisit
joy,Plus excellent prizes from the
anger,. What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery
joy,I Love Museums via
anger,. can you attend adjournment debate tomorrow #noprivatisation #reinstatecandy
joy,"Excellent exhibition at on Napoleonic era caricature/prints, well worth a look"
joy,we love the badge! Here she is visiting Peel Park in 1851
joy,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in Thanks for placing it center stage.
joy,A grant helped us acquire 'Whistlejacket' in 1997. Learn more via
joy,it is amazing! you are always so up to date! The best museum in the world! Thanks!
joy,Of course! Nothing more and nothing less than the eye of Horus! Greetings!
joy,well deserved. Congrats!
joy,loved the exhibition today! My mum especially loved it! X
joy,task 40821 of Foreign Weapons before starting my real job for the day happy Monday!
joy,I got 10/10 in 'Can you guess the artwork?' #arthistorydegree #wellworthit
joy,A young friend has drawn us a great pic of inside and out with his new pencil #CastleHill15
anger,#AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?
joy,Patients of Sharp Ward are enjoying historic views of the city thanks to
joy,It is also a privilege to have the great in London it is truly wonderful #arttherapy
joy,Fantastic to be in London today speaking event. Met lovely people from nan
anger,#askthegallery What do you take more pride in Hanging classic artwork or hanging your staff out to dry?
joy,"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive event in July"
joy,Thanks to Lucy nan co. New Rhythms Through New Eyes going up in the Education studio in prep for Saturday!
joy,Wonderful book from trip to the today. Such a fun way to improve on geography knowledge! #maps
joy,In London a beautiful Vermeer #inarttours #masterpieces
disgust,. ignores questions on sponsorship fees received from Shell. No surprises. #Artwash
joy,"at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of"
anger,Fantastic standing up for workers #noprivatisation while sits on fence!
joy,Enjoyed a couple of hours in side the British Museum lonelyplanet #summer #NotSoSunny…
joy,"you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice"
